project,layer,functionality_score,performance_score,architecture_score,qq_protocol,ai_conversation,memory,slang_or_group_context,admin_ui,plugin_ecosystem,dependency_weight,observability,maintenance_risk,summary
Omubot,ai_product_baseline,4,4,4,"NapCat via NoneBot OneBot V11","Focused companion chat with proactive scheduler","Typed SQLite memory cards + group timeline","Slang v3: review, AI review, drift, lookup tool","Vue Admin Web tailored to bot ops","Custom LLM-lifecycle PluginBus; smaller ecosystem","Medium-light: no FAISS/vector stack by default","Admin pages + logs + plugin routes","Medium: young ecosystem, narrower protocol/platform coverage","Best fit for focused QQ companion bot; strongest in auditable group-context governance."
MaiBot,ai_product,5,3,3,"NapCat adapter project external to core","Very strong lifeform/personality orientation","Broad expression and contextual learning","Jargon miner with inference/comparison; less governed than Omubot","Limited compared with dedicated admin consoles","Component plugin system with actions/commands/events/tools","Heavy: faiss-cpu, jieba, pyarrow, peewee","Extensive logs but harder to operate centrally","Medium: active but complex","Feature-rich companion baseline; useful ideas, but heavier and more entangled."
MaiBot-Napcat-Adapter,protocol_adapter,2,4,3,"Direct NapCat bridge with queue and echo handling","Not an AI product","Not applicable","Not applicable","No broad admin UI","Adapter code, not broad plugin ecosystem","Light-medium Python adapter","Adapter logs and response pool","Low-medium when paired with MaiBot","Good NapCat bridge reference; compare integration mechanics, not product features."
MoFox-Core,ai_product,4,2,3,"MaiBot-style protocol path","Strong companion fork focus","Graph memory + vector/embedding stack","Likely inherits/extends MaiBot-style expression learning","Limited in audited code","MaiBot-derived component system","Heavy: FAISS/rjieba/embedding graph","Project logs; less ops UI evidence","Medium-high: smaller project","Strong semantic-memory direction; not suitable as Omubot default without optionalization."
AstrBot,ai_product_framework,5,3,5,"Multi-platform adapters including QQ ecosystem","General LLM/agent bot framework","Vector/RAG-capable memory patterns","No Omubot-like governed slang found as core feature","Mature dashboard/product surface","Strong plugin lifecycle, hot reload, provider abstraction","Heavy: FAISS/jieba/provider stack","Good logs, DB tuning, provider/session observability","Low-medium: very active, larger attack surface","Best architecture reference for provider/plugin lifecycle and DB tuning."
LangBot,ai_product_platform,5,3,5,"Multi-platform IM including QQ/Satori paths","Agentic production IM platform","RAG/vector backends and migrations","No dedicated audited group slang governance","Frontend platform exists","Isolated plugin runtime via stdio/websocket","Heavy: many vector backends optional/available","Migrations, API, platform-style operations","Low-medium: active but complex","Best reference for platformization and plugin isolation; overkill for lean companion default."
kirara-ai,ai_product_platform,4,3,4,"Multi-adapter IM manager","Workflow-oriented AI bot","Memory manager with file/Redis scopes","No dedicated audited slang governance","WebServer present","External/internal plugin discovery and pip install flow","Medium-heavy","IOC/services improve traceability","Medium: last push older than leading projects","Good workflow/plugin install model; less directly companion-specific."
zhenxun_bot,qq_bot_ecosystem,4,4,4,"NoneBot2 + OneBot adapter","LLM manager exists but command bot is core","Service/cache/memory governor pieces","No governed slang equivalent","Bot management surface/configs, not Omubot-style editor","Mature NoneBot plugin/permission/limit ecosystem","Medium","Plugin metadata, limits, schedulers","Low-medium: active","Excellent QQ command/plugin ops reference; not a full LLM companion architecture."
Yunzai,qq_bot_ecosystem,4,3,3,"Multiple adapters/protocol endpoints","Mostly command/content bot; AI not core","Redis-backed operational state","Custom replies, not semantic slang governance","CLI/config ecosystem rather than integrated Web UI","Large JS plugin ecosystem","Heavy: Redis/Puppeteer common","Plugin stats/logging in loader path","Medium: fork ecosystem fragmentation","Strong plugin/community model; heavy operational dependencies."
Miao-Yunzai,qq_bot_ecosystem,4,3,3,"Yunzai/icqq style protocol path","Mostly command/content bot","Redis-backed state","Custom/plugin rules, not governed slang","No Omubot-style Admin Web","Priority/rule plugin pipeline","Heavy: Redis/Puppeteer common","Runtime plugin refresh/stats","Medium: fork of larger ecosystem","Good rule/prioritization reference; not LLM-native."
HoshinoBot,qq_bot_ecosystem_legacy,3,4,3,"nonebot old + aiocqhttp","Command/game bot, not LLM companion","Simple service state","No slang equivalent","No modern admin UI","Service abstraction with group enable/disable","Light-medium","Simple logs/service switches","Medium-high: legacy stack","Battle-tested simplicity; useful only as historical baseline."
NcatBot,napcat_sdk,2,4,3,"Direct NapCat WebSocket SDK","Not an AI bot","Not applicable","Not applicable","CLI/plugin helper, not full admin","Plugin/event bus and RBAC helpers","Medium-light","SDK logs and event errors","Medium: GitHub URL failed, PyPI sdist available","Useful SDK comparison for NapCat event handling, not a product competitor."
nonebot2,framework,3,5,5,"Adapter ecosystem, OneBot via adapter-onebot","Framework only","Framework only","Framework only","Framework only","Mature plugin/matcher/dependency framework","Light-medium base","Driver/matcher/plugin diagnostics","Low: mature active framework","Omubot should keep using it as base, not replace PluginBus with matchers."
adapter-onebot,framework_adapter,2,5,4,"OneBot V11/V12 HTTP/WS/reverse WS","Not AI","Not applicable","Not applicable","Not applicable","Adapter for NoneBot","Light","API response store/timeouts","Low","Solid protocol adapter already aligned with Omubot."
Koishi,framework,3,4,5,"Multi-platform adapters through JS ecosystem","Framework; LLM via plugins","Database abstractions, plugin-dependent memory","Plugin-dependent","Console ecosystem outside audited core","Very strong plugin/middleware ecosystem","Medium Node ecosystem","Plugin loader, database, middleware patterns","Low-medium: active framework","Best JS ecosystem/plugin-console reference; not a direct Python Omubot replacement."
NapCatQQ,protocol,2,4,4,"Modern NTQQ OneBot/Satori-ish protocol side","Not AI","Not applicable","Not applicable","WebUI/protocol config side","Protocol actions/events, not bot plugins","Medium Node/Electron/NTQQ side","Protocol logs/config","Medium: QQ protocol risk","Correct default protocol side for Omubot today; compare reliability/integration only."
Lagrange.Core,protocol,2,4,4,"Pure C# NTQQ/OneBot components","Not AI","Not applicable","Not applicable","Protocol host pieces","Protocol/library ecosystem","Medium .NET","Typed events/DI","High: archived upstream","Good fallback study but not primary because archived."
LLOneBot,protocol,2,4,4,"OneBot11 + Satori + Milky","Not AI","Not applicable","Not applicable","Protocol/plugin config side","NTQQ plugin-side protocol bridge","Medium Node/NTQQ plugin","Message cache/store, adapter logs","Medium","Useful fallback protocol side, especially multi-protocol bridge ideas."
go-cqhttp,protocol_legacy,2,4,3,"Broad legacy OneBot/CQ API coverage","Not AI","Not applicable","Not applicable","Protocol config/logs","Protocol action surface","Light Go binary historically","Mature action/server logs","High: legacy QQ protocol assumptions","Valuable API coverage reference; not a modern default."
Ariadne,framework_legacy,3,4,4,"Mirai API HTTP framework","Framework only","Framework only","No slang equivalent","Console support, not modern web console","Graia Broadcast/Saya ecosystem","Medium","Broadcast events, scheduler, memcache","Medium-high: Mirai stack relevance lower","Useful historical framework patterns; less relevant for NapCat/NoneBot Omubot path."
